Epoch 12/1000, Input: [0.37328096], Target: [6.13106626e+12], Output: [128.74404931290024]
Epoch 12/1000, Input: [0.66414924], Target: [2.05891132e+14], Output: [129.74404931290024]
Epoch 12/1000, Input: [0.48235657], Target: [2.65599228e+13], Output: [130.74404931290024]
Epoch 12/1000, Input: [-0.53568242], Target: [60466176.], Output: [131.74404931290024]
Epoch 12/1000, Input: [-0.35388974], Target: [1.], Output: [132.74404931290024]
Epoch 12/1000, Input: [-0.2084556], Target: [59049.], Output: [132.71770050303766]
Epoch 13/1000, Input: [-0.24481414], Target: [1024.], Output: [133.71770050303766]
Epoch 13/1000, Input: [-0.28117267], Target: [1.], Output: [133.89575696293704]
Epoch 13/1000, Input: [-0.35388974], Target: [1.], Output: [133.86917781154446]
Epoch 13/1000, Input: [3.31832231], Target: [1.e+20], Output: [133.84260397598214]
Epoch 13/1000, Input: [-0.68111656], Target: [1.e+10], Output: [134.84260397598214]
Epoch 13/1000, Input: [0.15512975], Target: [1.37858492e+11], Output: [135.84260397598214]
Epoch 13/1000, Input: [-0.46296535], Target: [1048576.], Output: [136.84260397598214]
Epoch 13/1000, Input: [-0.89926777], Target: [1.09951163e+12], Output: [137.84260397598214]
Epoch 13/1000, Input: [-0.97198484], Target: [3.57046723e+12], Output: [138.84260397598214]
Epoch 13/1000, Input: [0.37328096], Target: [6.13106626e+12], Output: [139.84260397598214]
Epoch 13/1000, Input: [0.66414924], Target: [2.05891132e+14], Output: [140.84260397598214]
Epoch 13/1000, Input: [0.48235657], Target: [2.65599228e+13], Output: [141.84260397598214]
Epoch 13/1000, Input: [-0.53568242], Target: [60466176.], Output: [142.84260397598214]
Epoch 13/1000, Input: [-0.35388974], Target: [1.], Output: [143.84260397598214]
Epoch 13/1000, Input: [-0.2084556], Target: [59049.], Output: [143.81403545518694]
Epoch 14/1000, Input: [-0.24481414], Target: [1024.], Output: [144.81403545518694]
Epoch 14/1000, Input: [-0.28117267], Target: [1.], Output: [144.9898726480959]
Epoch 14/1000, Input: [-0.35388974], Target: [1.], Output: [144.9610746735663]
Epoch 14/1000, Input: [3.31832231], Target: [1.e+20], Output: [144.93228245863156]
Epoch 14/1000, Input: [-0.68111656], Target: [1.e+10], Output: [145.93228245863156]
Epoch 14/1000, Input: [0.15512975], Target: [1.37858492e+11], Output: [146.93228245863156]
Epoch 14/1000, Input: [-0.46296535], Target: [1048576.], Output: [147.93228245863156]
Epoch 14/1000, Input: [-0.89926777], Target: [1.09951163e+12], Output: [148.93228245863156]
Epoch 14/1000, Input: [-0.97198484], Target: [3.57046723e+12], Output: [149.93228245863156]
Epoch 14/1000, Input: [0.37328096], Target: [6.13106626e+12], Output: [150.93228245863156]
Epoch 14/1000, Input: [0.66414924], Target: [2.05891132e+14], Output: [151.93228245863156]
Epoch 14/1000, Input: [0.48235657], Target: [2.65599228e+13], Output: [152.93228245863156]
Epoch 14/1000, Input: [-0.53568242], Target: [60466176.], Output: [153.93228245863156]
Epoch 14/1000, Input: [-0.35388974], Target: [1.], Output: [154.93228245863156]
Epoch 14/1000, Input: [-0.2084556], Target: [59049.], Output: [154.90149600213982]
Epoch 15/1000, Input: [-0.24481414], Target: [1024.], Output: [155.90149600213982]
Epoch 15/1000, Input: [-0.28117267], Target: [1.], Output: [156.0751157029394]
Epoch 15/1000, Input: [-0.35388974], Target: [1.], Output: [156.04410067979882]
Epoch 15/1000, Input: [3.31832231], Target: [1.e+20], Output: [156.01309185966286]
Epoch 15/1000, Input: [-0.68111656], Target: [1.e+10], Output: [157.01309185966286]
Epoch 15/1000, Input: [0.15512975], Target: [1.37858492e+11], Output: [158.01309185966286]
Epoch 15/1000, Input: [-0.46296535], Target: [1048576.], Output: [159.01309185966286]
Epoch 15/1000, Input: [-0.89926777], Target: [1.09951163e+12], Output: [160.01309185966286]
Epoch 15/1000, Input: [-0.97198484], Target: [3.57046723e+12], Output: [161.01309185966286]
Epoch 15/1000, Input: [0.37328096], Target: [6.13106626e+12], Output: [162.01309185966286]
Epoch 15/1000, Input: [0.66414924], Target: [2.05891132e+14], Output: [163.01309185966286]
Epoch 15/1000, Input: [0.48235657], Target: [2.65599228e+13], Output: [164.01309185966286]
Epoch 15/1000, Input: [-0.53568242], Target: [60466176.], Output: [165.01309185966286]
Epoch 15/1000, Input: [-0.35388974], Target: [1.], Output: [166.01309185966286]
Epoch 15/1000, Input: [-0.2084556], Target: [59049.], Output: [165.98008924129093]
Epoch 16/1000, Input: [-0.24481414], Target: [1024.], Output: [166.98008924129093]
Epoch 16/1000, Input: [-0.28117267], Target: [1.], Output: [167.15149322344266]
Epoch 16/1000, Input: [-0.35388974], Target: [1.], Output: [167.11826292479796]
Epoch 16/1000, Input: [3.31832231], Target: [1.e+20], Output: [167.085039272213]
Epoch 16/1000, Input: [-0.68111656], Target: [1.e+10], Output: [168.085039272213]
Epoch 16/1000, Input: [0.15512975], Target: [1.37858492e+11], Output: [169.085039272213]
Epoch 16/1000, Input: [-0.46296535], Target: [1048576.], Output: [170.085039272213]
Epoch 16/1000, Input: [-0.89926777], Target: [1.09951163e+12], Output: [171.085039272213]
Epoch 16/1000, Input: [-0.97198484], Target: [3.57046723e+12], Output: [172.085039272213]
Epoch 16/1000, Input: [0.37328096], Target: [6.13106626e+12], Output: [173.085039272213]
Epoch 16/1000, Input: [0.66414924], Target: [2.05891132e+14], Output: [174.085039272213]
Epoch 16/1000, Input: [0.48235657], Target: [2.65599228e+13], Output: [175.085039272213]
Epoch 16/1000, Input: [-0.53568242], Target: [60466176.], Output: [176.085039272213]
Epoch 16/1000, Input: [-0.35388974], Target: [1.], Output: [177.085039272213]
Epoch 16/1000, Input: [-0.2084556], Target: [59049.], Output: [177.04982226435857]
Epoch 17/1000, Input: [-0.24481414], Target: [1024.], Output: [178.04982226435857]
Epoch 17/1000, Input: [-0.28117267], Target: [1.], Output: [178.2190122999057]
Epoch 17/1000, Input: [-0.35388974], Target: [1.], Output: [178.18356849744572]
Epoch 17/1000, Input: [3.31832231], Target: [1.e+20], Output: [178.14813178374624]
